"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 09:36:59 UTC 2024","Sun Mar 24 09:38:28 UTC 2024","88627","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Sun Mar 24 09:36:56 UTC 2024","Sun Mar 24 09:36:57 UTC 2024","142","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Sun Mar 24 09:36:56 UTC 2024","Sun Mar 24 09:36:57 UTC 2024","1370","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Sun Mar 24 09:36:55 UTC 2024","Sun Mar 24 09:36:55 UTC 2024","282","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Sun Mar 24 09:38:55 UTC 2024","Sun Mar 24 09:39:09 UTC 2024","13837","Tests.Steam_website","Wishlist_API_test","wishlist_api_tests_2_firefox","","","test_remove_from_wishlist",""
"passed","Sun Mar 24 09:36:57 UTC 2024","Sun Mar 24 09:36:57 UTC 2024","94","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Sun Mar 24 09:38:34 UTC 2024","Sun Mar 24 09:38:44 UTC 2024","9890","Tests.Steam_website","Wishlist_API_test","wishlist_api_tests_0_chrome","","","test_add_game_to_wishlist",""
"passed","Sun Mar 24 09:38:51 UTC 2024","Sun Mar 24 09:39:03 UTC 2024","12297","Tests.Steam_website","Wishlist_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"passed","Sun Mar 24 09:38:27 UTC 2024","Sun Mar 24 09:38:34 UTC 2024","7056","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_suggestions",""
"passed","Sun Mar 24 09:38:46 UTC 2024","Sun Mar 24 09:39:00 UTC 2024","13732","Tests.Steam_website","Wishlist_API_test","wishlist_api_tests_1_edge","","","test_add_game_to_wishlist",""
"passed","Sun Mar 24 09:36:59 UTC 2024","Sun Mar 24 09:38:10 UTC 2024","71213","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_suggestions",""
"passed","Sun Mar 24 09:36:57 UTC 2024","Sun Mar 24 09:36:57 UTC 2024","171","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"passed","Sun Mar 24 09:38:35 UTC 2024","Sun Mar 24 09:38:51 UTC 2024","15476","Tests.Steam_website","Wishlist_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"failed","Sun Mar 24 09:36:59 UTC 2024","Sun Mar 24 09:38:21 UTC 2024","82120","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
"passed","Sun Mar 24 09:36:56 UTC 2024","Sun Mar 24 09:36:56 UTC 2024","165","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Sun Mar 24 09:38:24 UTC 2024","Sun Mar 24 09:38:41 UTC 2024","17048","Tests.Steam_website","Steam_cart_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"failed","Sun Mar 24 09:36:55 UTC 2024","Sun Mar 24 09:36:55 UTC 2024","313","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"passed","Sun Mar 24 09:36:56 UTC 2024","Sun Mar 24 09:36:56 UTC 2024","165","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
