"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 08:15:36 UTC 2024","Thu Mar 28 08:15:41 UTC 2024","5331","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_suggestions",""
"passed","Thu Mar 28 08:16:54 UTC 2024","Thu Mar 28 08:17:11 UTC 2024","17040","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_add_game_to_wishlist",""
"passed","Thu Mar 28 08:13:56 UTC 2024","Thu Mar 28 08:14:05 UTC 2024","9063","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Thu Mar 28 08:12:15 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","2064","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_DESC_price_advanced_search",""
"failed","Thu Mar 28 08:14:36 UTC 2024","Thu Mar 28 08:14:48 UTC 2024","11760","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_price_slider",""
"passed","Thu Mar 28 08:16:14 UTC 2024","Thu Mar 28 08:16:22 UTC 2024","8310","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Thu Mar 28 08:14:48 UTC 2024","Thu Mar 28 08:14:57 UTC 2024","9169","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_owned_from_search",""
"passed","Thu Mar 28 08:16:05 UTC 2024","Thu Mar 28 08:16:14 UTC 2024","8703","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Thu Mar 28 08:12:17 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","156","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Thu Mar 28 08:13:00 UTC 2024","Thu Mar 28 08:13:26 UTC 2024","25738","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_1_edge","","","test_add_to_cart",""
"passed","Thu Mar 28 08:13:48 UTC 2024","Thu Mar 28 08:13:56 UTC 2024","7841","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_owned_from_search",""
"passed","Thu Mar 28 08:12:15 UTC 2024","Thu Mar 28 08:12:15 UTC 2024","516","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:16 UTC 2024","218","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
"passed","Thu Mar 28 08:16:22 UTC 2024","Thu Mar 28 08:16:29 UTC 2024","7684","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_suggestions",""
"passed","Thu Mar 28 08:12:17 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","204","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:16 UTC 2024","219","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Thu Mar 28 08:15:21 UTC 2024","Thu Mar 28 08:15:30 UTC 2024","8765","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_empty_search",""
"passed","Thu Mar 28 08:12:18 UTC 2024","Thu Mar 28 08:13:00 UTC 2024","41695","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:16 UTC 2024","313","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","1626","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Thu Mar 28 08:15:41 UTC 2024","Thu Mar 28 08:15:51 UTC 2024","9412","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_empty_search",""
"passed","Thu Mar 28 08:15:30 UTC 2024","Thu Mar 28 08:15:36 UTC 2024","6265","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_result",""
"passed","Thu Mar 28 08:12:17 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Thu Mar 28 08:12:17 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","235","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"passed","Thu Mar 28 08:16:41 UTC 2024","Thu Mar 28 08:16:54 UTC 2024","12509","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"passed","Thu Mar 28 08:17:23 UTC 2024","Thu Mar 28 08:17:37 UTC 2024","13755","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"failed","Thu Mar 28 08:15:09 UTC 2024","Thu Mar 28 08:15:21 UTC 2024","12189","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_price_slider",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Thu Mar 28 08:12:16 UTC 2024","Thu Mar 28 08:12:17 UTC 2024","422","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Thu Mar 28 08:12:15 UTC 2024","Thu Mar 28 08:12:16 UTC 2024","750","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_advanced_search",""
"failed","Thu Mar 28 08:14:05 UTC 2024","Thu Mar 28 08:14:17 UTC 2024","11401","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_price_slider",""
"passed","Thu Mar 28 08:15:51 UTC 2024","Thu Mar 28 08:15:58 UTC 2024","7023","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
"passed","Thu Mar 28 08:15:58 UTC 2024","Thu Mar 28 08:16:05 UTC 2024","7121","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"passed","Thu Mar 28 08:17:11 UTC 2024","Thu Mar 28 08:17:23 UTC 2024","12136","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Thu Mar 28 08:14:17 UTC 2024","Thu Mar 28 08:14:26 UTC 2024","8913","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_owned_from_search",""
"passed","Thu Mar 28 08:14:57 UTC 2024","Thu Mar 28 08:15:09 UTC 2024","11434","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"passed","Thu Mar 28 08:12:15 UTC 2024","Thu Mar 28 08:12:16 UTC 2024","703","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Thu Mar 28 08:13:26 UTC 2024","Thu Mar 28 08:13:48 UTC 2024","22700","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"passed","Thu Mar 28 08:14:26 UTC 2024","Thu Mar 28 08:14:36 UTC 2024","10590","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_wishlist_from_search",""
